4622	NY	5128581	1
4622	New York	5128581	0
4622	Dubai	292223	0
4622	Pakistan	1168579	0
4622	Connecticut	4831725	0
4622	Manhattan	5125771	0
74753	Sittard-Geleen	6544255	0
74753	Kampen	2753104	0
74753	Raalte	2748370	0
74753	Hardenberg	2754858	0
74753	Ouder-Amstel	2749027	0
144824	Nijmegen	2750053	0
144824	Nijmegen	2750052	0
144824	Cuijk	2757874	0
236009	VS	6252001	1
236009	New York	5128581	1
236009	Verenigde Staten	6252001	0
236009	New York	5128638	0
236009	Massachusetts	6254926	0
236009	Long Island	3572005	0
236009	New York	5128638	0
236009	Massachusetts	6254926	0
236009	Florida	4155751	0
236009	Florida	4155751	0
236009	New York	5128638	0
236009	New Jersey	5101760	0
159044	Rusland	2017370	0
129800	Goirle	2755463	0
160630	Amsterdam	2759794	0
160630	Curaçao	7626836	0
160630	Venezuela	3625428	0
160630	Zwolle	2743477	0
160630	Venezuela	3625428	0
160630	Venezuela	3625428	0
160630	Curaçao	7626836	0
160630	Nederland	2750405	0
160630	Venezuela	3625428	0
160630	Amsterdam-Oost	11525051	0
160630	Curaçao	7626836	0
160630	Curaçao	7626836	0
160630	Zwolle	2743477	0
160630	Curaçao	7626836	0
160630	Colombia	3686110	0
160630	Venezuela	3625428	0
160630	Curaçao	7626836	0
71223	Den Bosch	2747351	0
210875	Suriname	3382998	1
210875	Suriname	3382998	0
210875	Suriname	3382998	0
210875	Brazilië	3469034	0
210875	Suriname	3382998	0
210875	Suriname	3382998	0
210875	Frans-Guyana	3381670	0
210875	Paramaribo	3383330	0
210875	Paramaribo	3383330	0
210875	Suriname	3382998	0
210875	Suriname	3382998	0
20802	Nederland	2750405	0
20802	Amsterdam	2759794	0
20802	Nederland	2750405	0
20802	Amsterdam	2759794	0
71471	Nederland	2750405	0
71471	Harderwijk	2754848	0
188066	EU	6695072	1
188066	Europese Unie	6695072	0
188066	EU	6695072	0
144955	Israël	294640	1
144955	Guinee	2420477	1
144955	Israël	294640	0
144955	Guinee	2420477	0
144955	Guinee	2420477	0
144955	Guinee	2420477	0
144955	VS	6252001	0
144955	Zwitserland	2658434	0
144955	Guinee	2420477	0
144955	Zwitserland	2658434	0
144955	Genève	2660646	0
144955	Nederland	2750405	0
144955	Liechtenstein	3042058	0
55137	Bremen	2944388	0
55137	Bremen	2944388	0
88243	Maleisië	1733045	1
88243	Maleisië	1733045	0
88243	Nederland	2750405	0
88243	Schiphol	6296680	0
88243	Kuala Lumpur	1735161	0
88243	Maleisië	1733045	0
88243	Oekraïne	690791	0
88243	Maleisië	1733045	0
128388	Rusland	2017370	1
128388	Turkije	298795	0
128388	Turkije	298795	0
128388	Turkije	298795	0
128388	Ankara	323786	0
128388	Moskou	524901	0
128388	Turkije	298795	0
128388	Turkije	298795	0
128388	Rusland	2017370	0
128388	Turkije	298795	0
128388	Turkije	298795	0
231432	Azië	6255147	0
231432	Polen	798544	0
245411	Oekraïne	690791	0
245411	Denemarken	2623032	0
245411	Oostzee	2633321	0
245411	Bornholm	2623664	0
245411	Rusland	2017370	0
245411	Oostzee	2633321	0
245411	Oekraïne	690791	0
245411	NAVO	6695079	0
245411	Denemarken	2623032	0
245411	Denemarken	2623032	0
129588	Eindhoven	2756253	0
129588	Oss	2749234	0
129588	Eindhoven	2756253	0
35204	Brussel	2800866	0
35204	Brussel	2800866	0
35204	Nederland	2750405	0
35204	Zeeland	2744011	0
108961	Brussel	2800866	1
108961	Brussel	2800866	0
108961	Athene	264371	0
108961	Brussel	2800866	0
108961	Griekenland	390903	0
108961	Brussel	2800866	0
108961	Athene	264371	0
13123	Wit-Rusland	630336	1
13123	Wit-Rusland	630336	0
13123	Wit-Rusland	630336	0
13123	Europa	6255148	0
13123	Sovjet-Unie	8354411	0
13123	Wit-Rusland	630336	0
13123	Minsk	625144	0
13123	Minsk	625144	0
181562	Den Bosch	2747351	0
181562	Amsterdam	2759794	0
181562	Arnhem	2759661	0
77362	Tempelberg	11258705	1
77362	Jeruzalem	281184	1
77362	Tempelberg	11258705	0
77362	Jeruzalem	281184	0
77362	Israël	294640	0
77362	Tempelberg	11258705	0
77362	Tempelberg	11258705	0
153688	Brunssum	2758174	0
153688	Nederland	2750405	0
153688	Midden-Oosten	6269133	0
153688	Dubai	292223	0
153688	Nederland	2750405	0
153688	Nederland	2750405	0
153688	Nederland	2750405	0
153688	Syrië	163843	0
153688	Brunssum	2750405	0
153688	Midden-Oosten	6269133	0
219970	Europese Unie	6695072	0
219970	EU	6695072	0
219970	Verenigde Staten	6252001	0
219970	EU	6695072	0
219970	Europa	6255148	0
219970	EU	6695072	0
219970	Nederland	2750405	0
219970	Marburg	2873759	0
219970	Frankfurt	2925533	0
247271	Enschede	2756071	1
247271	Enschede	2756071	0
77098	Italië	3175395	0
77098	Italië	3175395	0
40349	Kiev	703448	1
40349	Kiev	703448	0
40349	Oekraïne	690791	0
40349	Kiev	703448	0
40349	Moskou	524901	0
40349	Oekraïne	690791	0
40349	Oekraïne	690791	0
40349	Polen	798544	0
49428	Nederland	2750405	0
10671	Nederland	2750405	0
15299	Egypte	357994	1
15299	Egypte	357994	0
15299	Tahrirplein	6955473	0
15299	Caïro	360630	0
15299	Egypte	357994	0
15299	Egypte	357994	0
68404	Lampedusa	2524458	1
68404	Lampedusa	2524458	0
68404	Lampedusa	2524458	0
68404	Tunesië	2464461	0
68404	Lampedusa	2524458	0
68404	Rome	3169070	0
68404	Lampedusa	2524458	0
68404	Afrika	6255146	0
68404	Syrië	163843	0
68404	Syrië	163843	0
68404	Lampedusa	2524458	0
68404	Somalië	51537	0
68404	Eritrea	338010	0
68404	Syrië	163843	0
68404	Lampedusa	2524458	0
68404	Sicilië	2523118	0
204007	Tynaarlo	2746038	1
204007	Tynaarlo	2746038	0
204007	Utrecht	2745912	0
204007	Noord-Willemskanaal	2749808	0
204007	Utrecht	2745912	0
50215	Austin	4671654	0
50215	VS	6252001	0
50215	Newtown	5280935	0
50215	VS	6252001	0
182562	Duisburg	2934691	0
